time_sec,x,y,z
231.544,186.23348919251228,-831.9000497156261,-62.82315715377149
231.639,185.73001042991615,-831.5501379739884,-62.98294147982031
231.681,185.390627226628,-831.3167140019186,-63.09400100848728
231.727,185.0579412565035,-831.087348079918,-63.20464810221753
231.77,184.7566396811327,-830.8782695888519,-63.304539232371866
231.863,184.43961788102186,-830.6571407862838,-63.40682199907934
231.905,184.12951718425848,-830.4413862006847,-63.502137056769186
231.959,183.84276722770275,-830.2449956945972,-63.58258693773598
232.054,183.54043727022776,-830.0422529588172,-63.6564272477236
232.149,183.2272050964205,-829.83257397497,-63.718604784833104
232.201,182.93690700016825,-829.6372125210647,-63.76183386602375
232.355,182.62934973952065,-829.4281891101735,-63.79185618588997
232.395,182.40877458369513,-829.2784161503997,-63.803184864168145
232.436,182.07677580937178,-829.0544346439696,-63.80552263815525
232.482,181.69732282648113,-828.822793408874,-63.79722497128719
232.525,181.40930365704034,-828.6596071275692,-63.785595876082766
232.623,181.00976799910555,-828.4292701618111,-63.76991019561228
232.714,180.6394056537133,-828.2099273921623,-63.757101578795044
232.757,180.31772957062662,-828.0078608407695,-63.74793778671835
232.799,179.8713447594316,-827.7137119452216,-63.74305639173542
232.845,179.5455205858267,-827.4983658388247,-63.74790542456486
232.938,179.1572632683484,-827.2413979925656,-63.765693353020595
232.987,178.70044386563367,-826.940505128738,-63.801655188919995
233.085,178.3775572333601,-826.727980261015,-63.83500859253431
233.127,177.91970164073956,-826.4306079137482,-63.88916858694813
233.227,177.62567950101786,-826.2379924607749,-63.927142736943665
233.275,177.32871856683448,-826.0433835885085,-63.96742596020118
233.372,176.90917252403992,-825.7702028492687,-64.02378415937198
233.412,176.58251706680406,-825.5555567438388,-64.06122731979247
233.456,176.3050381329511,-825.3729337705139,-64.08651408111686
233.597,175.98522963694504,-825.163302444433,-64.10696825606246
233.69,175.55931403318462,-824.8957526656125,-64.1229365775092
233.785,175.20789161081098,-824.6808063398062,-64.12926452955304
233.828,174.88632520502406,-824.4814219781284,-64.13280829315553
233.869,174.5224440396067,-824.2592961030631,-64.14048097990636
233.916,174.12186315129821,-824.0139508479988,-64.1501909008577
234.011,173.6185643500839,-823.7050114046078,-64.16946038294807
234.053,173.28010854744088,-823.4982333126786,-64.18951110017343
234.095,172.729676437967,-823.1645089402815,-64.23685202803472
234.136,172.2511708713878,-822.8679919253661,-64.29765905088416
234.278,171.89246130580165,-822.6450975802173,-64.358776458743
234.321,171.43301312922063,-822.3578997402246,-64.45452071710105
234.415,170.91154368485817,-822.02340594978,-64.58169824763544
234.457,170.67209625134439,-821.8654513705478,-64.64621741349097
234.55,170.20758995273144,-821.5549870110946,-64.78282647879263
234.591,169.7682341349931,-821.2592604520972,-64.92438058634124
234.688,169.55324892627092,-821.1163170569648,-64.99564553411378
234.73,169.13736069504475,-820.8451153103681,-65.13146322354066
234.775,168.78805851837936,-820.6167062535304,-65.2357449237478
234.818,168.4606923684192,-820.4003832927768,-65.31984539369256
235.017,168.1830261396284,-820.2165422322323,-65.37932404839523
235.059,167.85011204046268,-819.9958093527522,-65.43671723517974
235.103,167.45745000160463,-819.7348861952465,-65.48487706468771
235.244,167.17997266890262,-819.5501130849137,-65.50566872862555
235.286,166.82125266749523,-819.3107450662498,-65.51668075060292
235.329,166.4928351851305,-819.0960785137162,-65.51695202739154
235.371,166.1335485394645,-818.871969698355,-65.51467914580792
235.413,165.68104676619603,-818.5909410932521,-65.50236407569213
235.46,165.44369202716612,-818.4432705645555,-65.49131961686919
235.505,164.97814058801214,-818.1530695308034,-65.46034960106704
235.598,164.55465019396306,-817.8900516476205,-65.42022074079341
235.643,164.25267323890165,-817.705330352227,-65.3862584738722
235.687,163.77038342308174,-817.4513326060728,-65.34484408611999
235.83,163.3354922492344,-817.2587566845754,-65.3201174262015
235.873,162.94818473685996,-817.0997097084811,-65.30330605577598
235.916,162.53957199867904,-816.9309486332655,-65.2871116344514
236.009,162.24289127736878,-816.8055758025899,-65.2751045148957
236.101,161.71884739125204,-816.5839054236807,-65.25298395097744
236.142,161.29853521267322,-816.4107464878539,-65.23855293311959
236.186,160.85213927347345,-816.2276796313829,-65.22589466499008
236.281,160.4190664151887,-816.0494078523529,-65.21458575381843
236.377,159.97633400562611,-815.8700416558293,-65.2041809223042
236.417,159.4978279489041,-815.6773722743114,-65.19542321563677
236.461,159.0497947627329,-815.4976859728032,-65.19113218582228
236.607,158.57411448772456,-815.3063499871682,-65.1937193690224
236.649,158.13667059653176,-815.1291827171206,-65.20153732539245
236.692,157.62502333394684,-814.9190416444403,-65.21680385502722
236.789,157.05415945461613,-814.6826723122512,-65.24330788968979
236.885,156.5777773422234,-814.4818100008547,-65.27144931274961
236.93,156.22852669530027,-814.3342046980977,-65.2934225952038
236.971,155.6989575643446,-814.1099626327444,-65.32666227567225
237.014,155.32476662504922,-813.9503571415571,-65.34878001751125
237.211,154.82559703061207,-813.7358428373236,-65.37788245887324
237.255,154.37987831384626,-813.5443434122071,-65.4060728104424
237.295,153.92336902755105,-813.3461820129507,-65.43557490190105
237.337,153.4865390058975,-813.156805054019,-65.46123213167022
237.378,153.1107948922343,-812.9943150724748,-65.4798372633671
237.474,152.65898681877383,-812.8020196495912,-65.49898130874388
237.516,152.06316191513164,-812.5539603461034,-65.52423055503544
237.558,151.66043471528985,-812.3874455088207,-65.54220143397953
237.606,151.19475120757403,-812.1957377034793,-65.56513243504062
237.699,150.6864319913308,-811.9868406024216,-65.59285431218865
237.75,150.20636045811295,-811.7895127512918,-65.62111659073406
237.845,149.6086654621688,-811.5424613315098,-65.66255430024404
237.888,149.21313261503906,-811.3773575482747,-65.69416569413374
237.98,148.71349272501254,-811.1684287601994,-65.73769059951701
238.024,148.15960067619665,-810.9361833061912,-65.79073073351509
238.066,147.66485114277515,-810.7281500161107,-65.84344932440203
238.159,147.25010676635227,-810.5527240466762,-65.89066605408709
238.253,146.67370719896613,-810.3062548135994,-65.96157298869582
238.295,146.19926973478186,-810.1011756666461,-66.0227151038014
238.389,145.69986665371553,-809.8830925181237,-66.08883705780585
238.431,145.23384861046708,-809.6787324913709,-66.15208951419123
238.531,144.79003197104942,-809.4849153360832,-66.21231674939233
238.575,144.31483386717824,-809.2783411645033,-66.27480992145453
238.669,143.70383286329744,-809.0107321710693,-66.34746317826978
238.715,143.416042296808,-808.884748985605,-66.37813293891102
238.81,142.85761401846585,-808.6417643669419,-66.42858809132352
238.853,142.38270490915158,-808.4344756709082,-66.4604165734739
238.946,141.95360224902785,-808.2518122299189,-66.48206388343488
238.987,141.50519869421186,-808.0642875910058,-66.49867531736473
239.081,141.11341643127886,-807.9025969048629,-66.50907613946987
239.122,140.59085571145917,-807.6891917128087,-66.51866395769008
239.171,140.11199129144435,-807.4978094272194,-66.52340282408827
239.216,139.74662760600907,-807.35348486407,-66.52782971919748
239.364,139.09470485708943,-807.0948631042854,-66.54103286947546
239.407,138.5783378537182,-806.8868859952569,-66.55875933673912
239.45,137.98950046102968,-806.6444897476244,-66.58850022028514
239.545,137.57965974740657,-806.4735149432335,-66.62016287726146
239.639,137.07876062637158,-806.2610550311151,-66.67190623735772
239.68,136.65276689877092,-806.0715589821336,-66.72705776210427
239.775,136.162947314537,-805.8529184103401,-66.80282880638421
239.871,135.7036301301683,-805.6461071408149,-66.88284892733321
239.913,135.2353553461196,-805.4331809261241,-66.97228138168555
240.01,134.81682149763495,-805.242875910453,-67.05885972098113
240.056,134.38356813800797,-805.0453716142216,-67.15019958707731
240.1,133.8810388023531,-804.8110047810771,-67.25091565108195
240.199,133.63283840195854,-804.6977718889324,-67.2975445962899
240.242,133.15250029054758,-804.481715733637,-67.37973724813958
240.283,132.8565166505629,-804.3488593808722,-67.42326585347428
240.43,132.41682305277413,-804.1527378627287,-67.4773349407939
240.471,131.92944974844033,-803.9400571403418,-67.51929682147329
240.515,131.6217320714354,-803.8084930382361,-67.53448556682662
240.558,131.1945437829321,-803.6275832738297,-67.5419155462728
240.603,130.78549502812558,-803.4572918683964,-67.5350695118461
240.697,130.3313017578924,-803.2746396569793,-67.5145431019123
240.741,129.92694302324787,-803.110134355714,-67.48841034846188
240.893,129.48422150742877,-802.9256602958629,-67.45169111396868
240.936,129.05154694458557,-802.7388808012403,-67.40933144109917
241.133,128.65645422555923,-802.5689502033343,-67.36975458633347
241.184,128.09495761958578,-802.3248546988124,-67.3143275721562
241.228,127.51843908931346,-802.0665442356603,-67.26682094954697
241.271,127.23045986650615,-801.9358771229768,-67.24779201872838
241.312,126.64498765068379,-801.6724205459104,-67.21879511408298
241.354,126.127783627934,-801.4370256497871,-67.20463618916312
241.397,125.75695809725347,-801.2678800971738,-67.20033988854658
241.441,125.36948304251888,-801.092827205899,-67.20038230047362
241.539,124.63135883622266,-800.7591123753708,-67.21695248243628
241.636,124.15244962092132,-800.5436734376755,-67.23911456060094
241.678,123.74242347073684,-800.3586296153508,-67.2648575416408
241.725,123.12671677022303,-800.0776740702738,-67.31414084648668
241.82,122.66039639882598,-799.8642626026596,-67.36033769106294
241.914,122.27709148278615,-799.6889143961762,-67.40512224809333
242.061,121.8474611693498,-799.4916732929141,-67.46571913283054
242.104,121.33561685349322,-799.2528562013239,-67.55125206626045
242.145,120.942306678661,-799.0676958084741,-67.62412410451225
242.239,120.41004321771767,-798.8129419744076,-67.72899901912032
242.282,120.02017487407771,-798.625438260634,-67.80819365510214
242.324,119.56887681824132,-798.4067826679099,-67.89751683527518
242.366,119.02411719885613,-798.1456953540865,-68.00303993246467
242.564,118.76776193912333,-798.0203059962314,-68.05176633358437
242.606,118.26838995162755,-797.7738435626219,-68.14145599362999
242.647,117.83564412970824,-797.5584747915046,-68.21169823521973
242.687,117.59645312921369,-797.4386541955352,-68.24731948860963
242.782,117.11684064827,-797.2019807021085,-68.31191488627124
242.825,116.82537799723187,-797.0591771942379,-68.34649360627228
242.866,116.37360235871391,-796.8399336846389,-68.39549997017716
242.908,115.93823860317252,-796.6293557798921,-68.43626499572636
242.949,115.52359019433702,-796.4291647052437,-68.46816487664054
242.992,115.13599131194039,-796.2455549463539,-68.49371344107988
243.034,114.59441700324376,-795.9988213172948,-68.52446249693926
243.129,114.11131313815306,-795.7837197091231,-68.54828448432085
243.224,113.68065960402643,-795.5890871915284,-68.56596129027142
243.268,113.23255299572739,-795.3852385076977,-68.57961737081718
243.318,112.77984306059864,-795.1775524894404,-68.58809842155995
243.367,112.37752980595076,-794.9916881428928,-68.5918032029503
243.511,112.0275306596767,-794.8320763361913,-68.59236185377856
243.553,111.64027202440039,-794.6585019297318,-68.58920703174152
243.596,111.1681313606251,-794.4432465731934,-68.58167216346308
243.693,110.72120294541021,-794.2289536847653,-68.56764533600091
243.787,110.25339141301795,-794.0124858709709,-68.55002158983129
243.829,109.89321938311292,-793.8515394247972,-68.53502443530991
243.875,109.31049636818469,-793.5944909192183,-68.50826861701557
243.969,108.79408108773916,-793.3682736557141,-68.48212331946809
244.063,108.41024029932548,-793.1986788248538,-68.46394426193669
244.107,107.90575716686874,-792.9738570993463,-68.44251701475056
244.207,107.30118518247653,-792.7058823420581,-68.42314433018532
244.25,106.81892664922151,-792.4955090209602,-68.41665283050247
244.294,106.40659355131261,-792.3148560839822,-68.41627292362341
244.388,105.82943198170612,-792.0631668588616,-68.42101361946513
244.431,105.39834633031496,-791.8757097670837,-68.42658342133728
244.583,104.88699527032804,-791.6522271930578,-68.43212632931096
244.625,104.59424086224067,-791.5251597591641,-68.43465226932113
244.664,104.03645043622365,-791.2841683363118,-68.44126431885195
244.706,103.4253674985672,-791.0182869307084,-68.44993434234999
244.747,102.95067794884166,-790.8100405709648,-68.45688720630156
244.894,102.39655092048825,-790.5652756206556,-68.46583677911843
244.937,101.97297695692362,-790.3763506357681,-68.47160872241136
244.979,101.33693072788152,-790.0926901669892,-68.47837012971502
245.075,100.83449707296235,-789.8711544770022,-68.48282449768371
245.12,100.4109375212158,-789.6834096556381,-68.48494779077154
245.213,99.93492520411029,-789.4710403804634,-68.48556976038313
245.255,99.40965411811283,-789.2361896926362,-68.48402923188777
245.348,99.00844146787065,-789.0563095111595,-68.48087258232138
245.39,98.40341627742129,-788.7874759424608,-68.4733151123296
245.435,98.03208337437874,-788.6236818194743,-68.4668890573713
245.547,97.53355639053085,-788.3982163742259,-68.45341292723631
245.597,96.90463762480218,-788.1153220824756,-68.43135119419401
245.648,96.59233980793331,-787.9773311763499,-68.41894192537012
245.808,95.97996668279164,-787.7054310735303,-68.39168518831482
245.855,95.46217168570772,-787.4712222104444,-68.37021280605137
245.96,94.95306516331048,-787.2205071649886,-68.35011857463309
246.009,94.52283126075048,-786.9857205927322,-68.33130919047329
246.055,93.97994989323449,-786.6632937535169,-68.30620110042315
246.101,93.46270196284459,-786.3237934108071,-68.28178392540661
246.204,93.06063758586166,-786.0387062197152,-68.26693664889132
246.251,92.56917511095634,-785.6658701873667,-68.25451670947314
246.298,92.12456038130641,-785.2981715599192,-68.24389341733891
246.346,91.76524619105672,-784.9862632634504,-68.23453028703497
246.449,91.31451428063122,-784.5802749023419,-68.21966606108481
246.494,90.99157014561362,-784.2767323861212,-68.20564281627412
246.54,90.51414092493397,-783.7979064550258,-68.17632205412775
246.641,90.10047461175753,-783.3567814303108,-68.13882221202476
246.686,89.87092083844524,-783.1003694296747,-68.11251737934188
246.787,89.55122660502506,-782.74842283546,-68.07267496322365
246.833,89.05094951522045,-782.222197234199,-68.00324678687886
246.94,88.75567847842488,-781.9150442038605,-67.95698341833372
246.987,88.35849952327341,-781.5125409056078,-67.89250568051531
247.097,88.02035205313925,-781.1792175911006,-67.8373436971672
247.144,87.66980290833078,-780.8426600160159,-67.78127632549695
247.189,87.25491057032545,-780.4651533847571,-67.72067346203298
247.241,86.83245563168546,-780.1009421419744,-67.66694231443844
247.287,86.43922167123554,-779.7775835743817,-67.62633267629144
247.448,86.07289471491214,-779.4815127989491,-67.5935917835281
247.495,85.56366355172538,-779.0699950950717,-67.55612201680498
247.542,85.2019599893146,-778.7960893468573,-67.54136418651314
247.589,84.81011869576271,-778.5118770586948,-67.5340132613101
247.636,84.63169389274435,-778.3856547797377,-67.53294222173406
247.739,83.88294660968039,-777.871157015405,-67.5390502821873
247.791,83.4173018870573,-777.5553252274343,-67.54794756797077
